run	commit	execution_mode	validation_secs	scales	status
local-amd64-formal-phase-clients-1x2x4x	3fb8dff7673b63754cdd740475e0a7a025d380f9	emulated-amd64	unknown	none	incomplete
local-amd64-formal-phase-clients-r2-1x2x4x	3fb8dff7673b63754cdd740475e0a7a025d380f9	emulated-amd64	unknown	1	incomplete
local-amd64-formal-pool-fair32-1x	2c3825d62ea788210c135bb7940048b7987a762e	emulated-amd64	unknown	1	incomplete
local-amd64-formal-qos-rebalance-1x2x4x	951b6873212421e638aeed73bcde7b7f4c6ce948	emulated-amd64	unknown	1	incomplete
local-amd64-formal-read-batch-1x2x4x	3623dd3341ed000e71a475e9726e7a07c045dce7	emulated-amd64	unknown	1	incomplete
local-amd64-full-scheduler31-16-diag	f7e5d614b663a0528ac08d0e3c7c81144b2e61bc	emulated-amd64	unknown	1	incomplete
local-amd64-full-scheduler31-16-realtime5-h23k	0f863cab1a54ee1f3f584889e0f0422eedcb87cd	emulated-amd64	unknown	1	incomplete
local-amd64-full-soft-realtime-h23200	6d17d786e6b6211a8a08e5f683e939d0619ccd60	emulated-amd64	unknown	1	incomplete
local-amd64-http-large-diag	a3c6da7bd51ae45f022bd082d2450d1bbc63272c	emulated-amd64	unknown	1	incomplete
local-amd64-http-only	5522d342a80e9a6c2c6956e1897f6c37dcd6378c	emulated-amd64	unknown	none	incomplete
local-amd64-http-realtime-diag	a3c6da7bd51ae45f022bd082d2450d1bbc63272c	emulated-amd64	unknown	1	incomplete
local-amd64-http-subset-current	2c3825d62ea788210c135bb7940048b7987a762e	emulated-amd64	unknown	1	incomplete
local-amd64-http-subset-scheduler31-16	f7e5d614b663a0528ac08d0e3c7c81144b2e61bc	emulated-amd64	unknown	1	incomplete
local-amd64-http-udp-diag	a3c6da7bd51ae45f022bd082d2450d1bbc63272c	emulated-amd64	unknown	1	incomplete
local-amd64-isolated-diag	fed127475d7ff2535c15049e646cac0628e83c34	emulated-amd64	unknown	1	incomplete
local-amd64-isolated-http-diag	31796ccf34cfafe0138aa28238680e91e8a35aca	emulated-amd64	unknown	1	incomplete
local-amd64-isolated-large-offload-diag	fb6997bc89a8388e316405f5bc397903c2862dd7	emulated-amd64	unknown	none	incomplete
local-amd64-isolated-large-offload2-diag	37fc17da72724f531db30c22b281cf9ee06635ac	emulated-amd64	unknown	1	incomplete
local-amd64-isolated-small-profile-diag	unknown	unknown	unknown	none	incomplete
local-amd64-isolated-sync-diag	5a9d7390cd9b285414713d74d20d5c34f7287af5	emulated-amd64	unknown	1	incomplete
local-amd64-isolated-sync2-diag	31796ccf34cfafe0138aa28238680e91e8a35aca	emulated-amd64	unknown	1	incomplete
local-amd64-isolated-volume-gate-diag	a3c6da7bd51ae45f022bd082d2450d1bbc63272c	emulated-amd64	unknown	1	incomplete
local-amd64-no-large	5522d342a80e9a6c2c6956e1897f6c37dcd6378c	emulated-amd64	unknown	none	incomplete
